425275959;SOLD;2025-09-03;Goldfish 28 Tender;2022;1290000;Goldfish 28 Tender - 2022 - Nydelig spec - #064
421509423;EXPIRED;2025-08-29;Hanse 388;2021;1950000;Hanse 388:Judel/ Vrolijk design - Perfekt kombinasjon av pla
417733631;SOLD;2025-07-22;Beneteau Oceanis 37;2012;1070000;Beneteau Oceanis 37 - Én eier - Høstpris
408454142;SOLD;2025-05-20;Ibiza 811 Touring;2019;1085000;Høstkupp! - Ibiza 811 T - Dobbel installasjon - 400HK - 330
433806038;EXPIRED;2025-10-25;;;950000;Paragon 25 Cabin ønskes kjøpt
415892751;SOLD;2025-07-09;Paragon 25 Cabin;2009;799000;Paragon 25 Cabin - kun ca 500t - Salg pågår
422688604;SOLD;2025-08-20;Elan Power 35 HT;2006;1350000;Elan Power 35 HT - 2x Volvo Penta D4 - Skipsreg/finans - God
429403492;SOLD;2025-09-29;Goldfish 28 Tender;2022;1349000;Goldfish 28 Tender - Hvit - Mercury 450R
421811121;SOLD;2025-08-14;Fjord Terne undefined;2001;640000;Fjord Terne 28 – Norsk design -tidløs klassiker med sjarm og
359077647;EXPIRED;2025-04-25;Bavaria S36HT;2020;2350000;Bavaria S36 HT - Topputstyrt - Høstpris!
430413183;EXPIRED;2025-10-05;Nimbus T9;2019;1490000;HØSTKUPP: Nimbus T9 – 2019 – Volvo Penta V8 – Kun ca. 40 tim
369336242;EXPIRED;2025-04-28;Nimbus T9;2019;1490000;HØSTKUPP: Nimbus T9 – 2019 – Volvo Penta V8 – Kun ca. 40 tim
401222113;EXPIRED;2025-04-04;Colin Archer København Cruiser;1981;1099000;Colin Archer 40 - Nyrestaurert!
422030629;SOLD;2025-08-17;Dufour 44 Performance;2006;1250000;Dufour 44 Performance – 10 soveplasser - SALG PÅGÅR
418004590;SOLD;2025-07-24;Jeanneau Sun Odyssey 36i;2008;749000;Jeanneau Sun Odyssey 36i - Salg pågår
424396137;SOLD;2025-08-29;Nordkapp 905 Grand Coupe;2020;1500000;Nordkapp 905 Grand Coupe - 2x200hk - Bud innkommet
427531653;EXPIRED;2025-09-17;Goldfish 28 Bullet;2021;1340000;Goldfish 28 Bullet - 2021 - Mercury 8,2l 430 HK
406877349;SOLD;2025-05-09;Nimbus W9 T-top;2018;1640000;Gi bud! - Nimbus W9 T-top - Kun 350 Timer - Mercury Verado 3
413200151;EXPIRED;2025-06-18;BRIG Eagle 8;2022;919000;BRIG Eagle 8 - Mercury V8 - Høstpris!
408762335;SOLD;2025-05-21;Hydrolift X-26 S Sportcruiser;2020;1190000;Hydrolift X-26 S - Mercury 400R - bud mottatt!
426711356;EXPIRED;2025-09-12;Beneteau 41 Swift Trawler Sedan;2021;4790000;Beneteau 41 Swift Trawler Sedan - 2021 - Meget godt utstyrt
425303875;SOLD;2025-09-04;Nidelv 300 Sport;2004;690000;Tidløs og attraktiv kvalitetsbåt: Nidelv 300 Sport- oppgrade
408481527;SOLD;2025-05-19;Grand Banks 52 Europa;2007;6900000;Grand Banks 52 Europa - Tidløs - Meget Oppgradert
414057110;SOLD;2025-06-24;Cormate Chase 35;2023;2550000;NY PRIS: Cormate Chase 35 - 2023 - 2 x Mercruiser 350 V8 - 6
421691002;SOLD;2025-08-13;Goldfish 30 Sport;2021;1690000;Goldfish 30 Sport - 2021 - Nydelig spec - Flexiteek - 130 ti
416771435;SOLD;2025-07-30;Fairline Targa;1999;1100000;Fairline 37 Targa
341902730;EXPIRED;2025-06-11;Beneteau undefined;2017;8900000;Beneteau MC6S - 2017 - Utstyrsbombe - Se video!
423024229;EXPIRED;2025-08-21;;;1500000;Hvit Goldfish 23 eller 28 Tender ønskes kjøpt - 2022 eller n
423009709;EXPIRED;2025-08-21;;;390000;Nimbus 230R 2008-2012
422706543;SOLD;2025-08-19;Nimbus 230R;2012;320000;Nimbus 230R - 2012 - ny motorblokk
412896626;SOLD;2025-06-24;Grandezza OC;2011;1200000;Grandezza 31 OC - Ferieklar - Flere oppgraderinger - 650 Tim
412861481;SOLD;2025-06-16;Capelli undefined;2017;789000;Capelli Tempest 900 WA - Topputsyrt - 2x Suzuki 300hk - Skip
414213414;SOLD;2025-06-26;Bavaria Cr41 - Style;2018;2230000;Bavaria Cr41 - Style: Premium-seilbåt med luksusfølelse, kom
407533450;SOLD;2025-05-13;Skorgenes Sonic 445 Fly;2012;3390000;Skorgenes Sonic 445 Fly - 2012 - Innbytteforslag kan vurdere
406733159;SOLD;2025-05-08;Fjord Terne;2006;479000;Fjord Terne 24
355862885;EXPIRED;2025-07-31;Pardo P43;2024;11950000;UNIK: Pardo P43 - 2024 - 2 x IPS 650 - Spesifiserbar mva.
413301370;SOLD;2025-06-19;Windy 35 Khamsin;2008;1889000;Klassiker: Windy 35 Khamsin - Volvo Penta D6-370 - Skipsreg
406537007;SOLD;2025-05-06;Windy Ghibli;2001;;Justert pris - Windy Ghibli 28 - Restaurert 2019 - Volvo Pen
412876425;SOLD;2025-06-16;Goldfish 28 Tender;2023;1590000;Goldfish 28 Tender - 2 x 300 Mercury - 2023 modell - 70 Knop
411234147;SOLD;2025-06-05;Cranchi 28 CSL;2007;549000;Cranchi 28 CSL - Bud mottatt!
402159737;SOLD;2025-04-10;Sandvik 945;2012;1;Sandvik 945
403065174;SOLD;2025-04-15;Princess 415;1989;999000;Princess 415
417253248;EXPIRED;2025-07-18;Andre Baltic Marine / Kragerø Trebåtbyggeri;2002;2700000;Baltic Marine / Kragerø Trebåtbyggeri 34
402355143;SOLD;2025-04-10;Askeladden C83;2021;1359000;Askeladden C83 - inkl båtplass
398334181;EXPIRED;2025-03-17;Goldfish 28 Tender;2022;1550000;Goldfish 28 Tender - 2 x 300 Mercury - 2022 modell - 70 Knop
412222331;SOLD;2025-06-11;Nimbus W9;2022;1580000;Nimbus W9 - 2022 - Mercury V8 300 HK - KUN 50 timer - Godt u
403081687;SOLD;2025-04-15;Nimbus Nova 230R;2005;365000;Nimbus Nova 230R - fantastisk skjærgårdscruiser!
406543909;SOLD;2025-05-06;Scand Baltic 29;2005;599000;Scand Baltic 29 - velholdt og velutstyrt!
412322618;SOLD;2025-06-12;Seaside 23;2023;799000;Seaside 23 - Norskbygget kvalitetsbåt - Kupp!
414167713;EXPIRED;2025-06-25;;;1500000;Goldfish 28 Bullet - Ønskes for kunde
403247167;EXPIRED;2025-04-16;Cormate Chase 35;2023;2799000;Cormate Chase 35 - 2023 - 2 x Mercruiser 350 V8 - 60 knop!
366536700;SOLD;2025-03-14;Axopar undefined;2023;2749000;Axopar 37 XC - Brabus line - 50 timer - Ekstrautstyr for 1.m
408141372;EXPIRED;2025-05-16;Windy 35 Khamsin;2008;1889000;Klassiker: Windy 35 Khamsin - Volvo Penta D6-370 - Skipsreg
361851362;SOLD;2025-05-28;Paragon undefined;2014;2190000;Paragon 31 FLY - Topputstyrt - 2x Volvo Penta D3-220
413066759;SOLD;2025-06-17;Goldfish 28 Bullet;2020;1140000;Goldfish 28 Bullet - 2020 - Mercury 450R
408103983;EXPIRED;2025-06-16;Fjord 40 Open;2007;3900000;Fjord 40 Open
383350736;EXPIRED;2025-06-17;Elan undefined;2021;5800000;For deg som ønsker deg litt videre: "Leap of faith" Elan GT
403614418;SOLD;2025-04-19;Baltic Custom;1998;3850000;Unik Baltic 52 Custom!
381568135;SOLD;2025-05-23;Hanse undefined;2020;2500000;Hanse 388 - Ytelse og komfort!
409058218;SOLD;2025-05-26;Windy Ghibli;2004;789000;Windy Ghibli 28 - Flere oppgraderinger - 430 Timer
407772528;SOLD;2025-05-13;Goldfish 30 Sport;2021;1849000;Goldfish 30 Sport - 2021 - Nydelig spec - Flexiteek - 140 ti
404439052;SOLD;2025-04-24;Goldfish 28 Tender;2011;699000;NY PRIS - Goldfish 28 Tender - #001 - 2 x 200 Evinrude
407773129;EXPIRED;2025-05-13;Goldfish 28 Tender;2023;1590000;Goldfish 28 Tender - 2 x 300 Mercury - 2023 modell - 70 Knop
359402923;SOLD;2025-05-23;Axopar 28 Open;2019;899000;Axopar 28 Open / Yamaha 300HK
409130235;SOLD;2025-05-26;Cormate Super Utility;2022;889000;Cormate Super Utility - 2022 - 350hk - 55 knop - 82 timer
407517760;SOLD;2025-05-15;Fjord Terne undefined;2000;750000;Fjord Terne 28 – Norsk design -tidløs klassiker med sjarm og
401264658;SOLD;2025-04-04;Axopar 25 Cross Bow;2023;799000;Axopar 25 Cross Bow
406501609;SOLD;2025-05-06;Swan 48;2000;3990000;Swan 48 - Bud mottatt
315481254;EXPIRED;2025-03-04;Nimbus W9;2022;1780000;Nimbus W9 - 2022 - Mercury V8 300 HK - KUN 50 timer - Godt u
370202631;SOLD;2025-05-23;Hydrolift S-24 Diablo;2010;699000;Hydrolift S-24 Diablo
369051868;EXPIRED;2025-04-28;Jeanneau Cap Camarat 925 WA;2008;690000;Jeanneau Cap Camarat 925 WA – 2 x 250 hk – Walkaround
404595185;EXPIRED;2025-04-25;Seaside 23;2023;849000;Seaside 23 - kan nå sees på vannet!
402905720;SOLD;2025-04-15;Nimbus Nova 230R;2007;399000;NY PRIS - Nimbus Nova 230R
371152044;EXPIRED;2025-04-07;Fairline Squadron 55;2002;3599000;Fairline Squadron 55 - MYE påkostet i senere tid - Klar for
358032896;EXPIRED;2025-05-07;Goldfish 28 Tender;2017;990000;Goldfish 28 Tender - Mercury 400R - 60 knop!
406500254;EXPIRED;2025-05-06;Andre Nordic;2018;3690000;Timeless Nordic - Tidløs eleganse - Aluminium
400057993;SOLD;2025-03-28;Goldfish 28 Tender;2017;1090000;Goldfish 28 Tender - 2017 - Nylakkert 2024 - Merc 400R
354009948;SOLD;2025-03-07;Hydrolift X-26S R;2020;1390000;Hydrolift X-26S R - 2020 Modell - 2 x Mercury Verado 300 V8
401773858;EXPIRED;2025-04-08;Scand Baltic 29;2005;675000;Scand Baltic 29 - NY PRIS
405212046;EXPIRED;2025-04-28;Goldfish 38 SuperSport;2019;2500000;Goldfish 38 SuperSport – Build no. 023 – Twin 430 HK - Kun c
376881141;SOLD;2025-04-24;Goldfish undefined;2023;1990000;Goldfish 30 Sport - 2023 - Svært godt utstyrt - T-Top - Kun
404506629;EXPIRED;2025-04-24;Goldfish 28 Tender;2023;1690000;Goldfish 28 Tender - 2 x 300 Mercury - 2023 modell - 70 Knop
404475287;EXPIRED;2025-04-24;;;3300000;Nordkapp Coupé 905 V12 Ønskes for kunde.
397844327;SOLD;2025-03-14;Goldfish 30 Sport;2021;2190000;SJELDEN MULIGHET: Goldfish 30 Sport - Diesel - 60 knop - Ski
365670078;SOLD;2025-03-12;Goldfish 30 Sport;2021;1840000;Goldfish 30 Sport - 2021 - Svært godt utstyrt!
401118797;EXPIRED;2025-04-03;;;1200000;Windy 28 Ghibli ønskes kjøpt
401114723;EXPIRED;2025-04-03;;;1150000;Goldfish 23 Tender ønskes for kunde
401110051;EXPIRED;2025-04-03;;;850000;Cormate 23 utility ønskes kjøpt for kunde
355050431;EXPIRED;2025-03-27;Goldfish 38 Sport;2023;4750000;Goldfish 38 Sport - 2023 - Twin Mercury Racing 8,7 - 1130 HK
399935127;EXPIRED;2025-03-27;Beneteau 41 Swift Trawler Sedan;2021;4990000;Beneteau 41 Swift Trawler Sedan - 2021 - Meget godt utstyrt
398933391;SOLD;2025-03-21;Rupert R6;2021;640000;Kjøremaskin: Rupert R6 - 2021 modell - Svært velholdt!
399559415;SOLD;2025-03-25;Dufour 385 Grand Large;2005;849000;Dufour 385 GL - letthåndtert familiebåt - klar for tur!
397817485;SOLD;2025-03-14;Goldfish 28 Bullet;2023;1590000;Kommer for salg: Goldfish 28 Bullet - 2023 - Mercury 6,2l 35
398427080;EXPIRED;2025-03-18;Seaside 23;2023;890000;Seaside 23 - Norskbygget kvalitetsbåt - Må oppleves!
