# ----------------------------------------
# Sider og skjermer: Sidebane og skjermklasse
# Konto: House of Yachts
# Område: House of Yachts - GA4
# ----------------------------------------
# 
# Alle brukere
# Startdato: 20250101
# Sluttdato: 20260418
Sidebane og skjermklasse,Visninger,Aktive brukere,Visninger per aktive bruker,Gjennomsnittlig engasjementstid per aktive bruker,Antall hendelser,Viktige hendelser,Totale inntekter
/en/Baater/goldfish-28-bullet-,17,13,1.3076923076923077,12.384615384615385,47,0,0
/en/selge-bat,17,11,1.5454545454545454,36,28,0,0
/post/kommer-for-salg-nimbus-300r,17,14,1.2142857142857142,22.571428571428573,56,0,0
/post/nimbus-280-coupé-for-salg,17,12,1.4166666666666667,12.5,53,0,0
/Baater/azimut-atlantis-40-ht,16,14,1.1428571428571428,19.928571428571427,52,0,0
/Baater/cranchi-mediterrane-47,16,14,1.1428571428571428,51.785714285714285,23,0,0
/en/Baater/jeanneau-cap-camarat-925-wa,16,10,1.6,46.1,25,0,0
/en/Baater/quicksilver-905-pilothouse,16,10,1.6,72.6,51,0,0
/en/verdivurdering,16,13,1.2307692307692308,22.384615384615383,33,0,0
/post/quicksilver-905-pilothouse-for-salg,16,13,1.2307692307692308,7.384615384615385,53,0,0
/post/solgt-princess-25m,16,14,1.1428571428571428,17.928571428571427,51,0,0
/Baater/goldfish-23-tender,15,13,1.1538461538461537,30.076923076923077,47,0,0
/en/Baater/cormate-23-su---2022-shark-grey,15,12,1.25,21.333333333333332,46,0,0
/en/Baater/goldfish-23-tender---2018,15,12,1.25,18.666666666666668,50,0,0
/en/Baater/riva-dolceriva-48,15,15,1,68.4,25,0,0
/post/bavaria-e34-fly-selges,15,13,1.1538461538461537,12.923076923076923,49,0,0
/post/princess-25m-for-salg,15,12,1.25,12.833333333333334,46,0,0
/post/wallytender-45-available-for-daycharters-with-captain-in-oslo,15,16,0.9375,18.125,33,0,0
/Baater/goldfish-29-sport---2016,14,12,1.1666666666666667,64,24,0,0
/Baater/saffier-se-33-ud,14,13,1.0769230769230769,20.46153846153846,47,0,0
/en/Baater/beneteau-figaro-2,14,9,1.5555555555555556,31.555555555555557,42,0,0
/en/Baater/goldfish-32-sc-2001,14,10,1.4,98.4,42,0,0
/en/Baater/timeless-34-nordic,14,10,1.4,98.8,28,0,0
/post/kronekursen-kan-gjør-båteksport-attraktivt,14,12,1.1666666666666667,17.75,48,0,0
/Baater/marex-310-sun-cruiser,13,11,1.1818181818181819,53.18181818181818,45,0,0
/Baater/targa-44-fly,13,13,1,35.84615384615385,48,0,0
